time,obj_func,obj_func_max_value
39,obj_1,185000.0
39,obj_2,135000.0
39,obj_3,165000.0
39,obj_4,69000.0
39,obj_5,69000.0
39,obj_6,10500.0
39,obj_7,336000.0
39,obj_8,144000.0
39,obj_9,144000.0
72,obj_1,185000.0
72,obj_2,135000.0
72,obj_3,165000.0
72,obj_4,69000.0
72,obj_5,70500.0
72,obj_6,10500.0
72,obj_7,348000.0
72,obj_8,144000.0
72,obj_9,144000.0
200,obj_1,185000.0
200,obj_2,135000.0
200,obj_3,165000.0
200,obj_4,69000.0
200,obj_5,70500.0
200,obj_6,10500.0
200,obj_7,348000.0
200,obj_8,144000.0
200,obj_9,144000.0
321,obj_1,185000.0
321,obj_2,135000.0
321,obj_3,165000.0
321,obj_4,69000.0
321,obj_5,70500.0
321,obj_6,10500.0
321,obj_7,348000.0
321,obj_8,144000.0
321,obj_9,144000.0
631,obj_1,185000.0
631,obj_2,135000.0
631,obj_3,165000.0
631,obj_4,69000.0
631,obj_5,70500.0
631,obj_6,10500.0
631,obj_7,348000.0
631,obj_8,144000.0
631,obj_9,144000.0
929,obj_1,185000.0
929,obj_2,135000.0
929,obj_3,165000.0
929,obj_4,69000.0
929,obj_5,70500.0
929,obj_6,10500.0
929,obj_7,348000.0
929,obj_8,144000.0
929,obj_9,144000.0
1831,obj_1,185000.0
1831,obj_2,135000.0
1831,obj_3,165000.0
1831,obj_4,69000.0
1831,obj_5,70500.0
1831,obj_6,10500.0
1831,obj_7,348000.0
1831,obj_8,144000.0
1831,obj_9,144000.0
2727,obj_1,185000.0
2727,obj_2,135000.0
2727,obj_3,165000.0
2727,obj_4,69000.0
2727,obj_5,70500.0
2727,obj_6,10500.0
2727,obj_7,348000.0
2727,obj_8,144000.0
2727,obj_9,144000.0
3629,obj_1,185000.0
3629,obj_2,135000.0
3629,obj_3,165000.0
3629,obj_4,69000.0
3629,obj_5,70500.0
3629,obj_6,10500.0
3629,obj_7,348000.0
3629,obj_8,144000.0
3629,obj_9,144000.0
4531,obj_1,185000.0
4531,obj_2,135000.0
4531,obj_3,165000.0
4531,obj_4,69000.0
4531,obj_5,70500.0
4531,obj_6,10500.0
4531,obj_7,348000.0
4531,obj_8,144000.0
4531,obj_9,144000.0
