time,obj_func,obj_func_max_value
36,obj_1,185000.0
36,obj_2,135000.0
36,obj_3,165000.0
36,obj_4,69000.0
36,obj_5,69000.0
36,obj_6,10500.0
36,obj_7,348000.0
36,obj_8,144000.0
36,obj_9,144000.0
68,obj_1,185000.0
68,obj_2,135000.0
68,obj_3,165000.0
68,obj_4,69000.0
68,obj_5,70500.0
68,obj_6,10500.0
68,obj_7,348000.0
68,obj_8,144000.0
68,obj_9,144000.0
317,obj_1,185000.0
317,obj_2,135000.0
317,obj_3,165000.0
317,obj_4,69000.0
317,obj_5,70500.0
317,obj_6,10500.0
317,obj_7,348000.0
317,obj_8,144000.0
317,obj_9,144000.0
625,obj_1,185000.0
625,obj_2,135000.0
625,obj_3,165000.0
625,obj_4,69000.0
625,obj_5,70500.0
625,obj_6,10500.0
625,obj_7,348000.0
625,obj_8,144000.0
625,obj_9,144000.0
927,obj_1,185000.0
927,obj_2,135000.0
927,obj_3,165000.0
927,obj_4,69000.0
927,obj_5,70500.0
927,obj_6,10500.0
927,obj_7,348000.0
927,obj_8,144000.0
927,obj_9,144000.0
1832,obj_1,185000.0
1832,obj_2,135000.0
1832,obj_3,165000.0
1832,obj_4,69000.0
1832,obj_5,70500.0
1832,obj_6,10500.0
1832,obj_7,348000.0
1832,obj_8,144000.0
1832,obj_9,144000.0
2729,obj_1,185000.0
2729,obj_2,135000.0
2729,obj_3,165000.0
2729,obj_4,69000.0
2729,obj_5,70500.0
2729,obj_6,10500.0
2729,obj_7,348000.0
2729,obj_8,144000.0
2729,obj_9,144000.0
3631,obj_1,185000.0
3631,obj_2,135000.0
3631,obj_3,165000.0
3631,obj_4,69000.0
3631,obj_5,70500.0
3631,obj_6,10500.0
3631,obj_7,348000.0
3631,obj_8,144000.0
3631,obj_9,144000.0
3635,obj_1,185000.0
3635,obj_2,135000.0
3635,obj_3,165000.0
3635,obj_4,69000.0
3635,obj_5,70500.0
3635,obj_6,10500.0
3635,obj_7,348000.0
3635,obj_8,144000.0
3635,obj_9,144000.0
4536,obj_1,185000.0
4536,obj_2,135000.0
4536,obj_3,165000.0
4536,obj_4,69000.0
4536,obj_5,70500.0
4536,obj_6,10500.0
4536,obj_7,348000.0
4536,obj_8,144000.0
4536,obj_9,144000.0
