time,obj_func,obj_func_max_value
38,obj_1,735000.0
38,obj_2,785000.0
38,obj_3,845000.0
38,obj_4,1125000.0
38,obj_5,1125000.0
38,obj_6,1065000.0
38,obj_7,1038000.0
38,obj_8,726000.0
38,obj_9,726000.0
81,obj_1,740000.0
81,obj_2,770000.0
81,obj_3,855000.0
81,obj_4,1185000.0
81,obj_5,1125000.0
81,obj_6,1050000.0
81,obj_7,1146000.0
81,obj_8,720000.0
81,obj_9,720000.0
340,obj_1,760000.0
340,obj_2,760000.0
340,obj_3,870000.0
340,obj_4,1110000.0
340,obj_5,1230000.0
340,obj_6,1125000.0
340,obj_7,1098000.0
340,obj_8,744000.0
340,obj_9,744000.0
668,obj_1,740000.0
668,obj_2,760000.0
668,obj_3,825000.0
668,obj_4,1140000.0
668,obj_5,1185000.0
668,obj_6,1080000.0
668,obj_7,1092000.0
668,obj_8,738000.0
668,obj_9,738000.0
993,obj_1,785000.0
993,obj_2,815000.0
993,obj_3,875000.0
993,obj_4,1125000.0
993,obj_5,1200000.0
993,obj_6,1095000.0
993,obj_7,1092000.0
993,obj_8,756000.0
993,obj_9,756000.0
1934,obj_1,760000.0
1934,obj_2,825000.0
1934,obj_3,840000.0
1934,obj_4,1125000.0
1934,obj_5,1170000.0
1934,obj_6,1140000.0
1934,obj_7,1140000.0
1934,obj_8,762000.0
1934,obj_9,762000.0
2880,obj_1,755000.0
2880,obj_2,810000.0
2880,obj_3,890000.0
2880,obj_4,1140000.0
2880,obj_5,1200000.0
2880,obj_6,1140000.0
2880,obj_7,1176000.0
2880,obj_8,738000.0
2880,obj_9,738000.0
3785,obj_1,760000.0
3785,obj_2,850000.0
3785,obj_3,865000.0
3785,obj_4,1140000.0
3785,obj_5,1245000.0
3785,obj_6,1155000.0
3785,obj_7,1086000.0
3785,obj_8,768000.0
3785,obj_9,768000.0
3801,obj_1,785000.0
3801,obj_2,795000.0
3801,obj_3,900000.0
3801,obj_4,1170000.0
3801,obj_5,1245000.0
3801,obj_6,1110000.0
3801,obj_7,1062000.0
3801,obj_8,708000.0
3801,obj_9,708000.0
4711,obj_1,795000.0
4711,obj_2,815000.0
4711,obj_3,880000.0
4711,obj_4,1185000.0
4711,obj_5,1245000.0
4711,obj_6,1110000.0
4711,obj_7,1080000.0
4711,obj_8,726000.0
4711,obj_9,726000.0
