time,obj_func,obj_func_max_value
43,obj_1,295000.0
43,obj_2,285000.0
43,obj_3,220000.0
43,obj_4,73500.0
43,obj_5,100500.0
43,obj_6,30000.0
43,obj_7,210000.0
43,obj_8,318000.0
43,obj_9,318000.0
79,obj_1,310000.0
79,obj_2,285000.0
79,obj_3,210000.0
79,obj_4,73500.0
79,obj_5,99000.0
79,obj_6,30000.0
79,obj_7,210000.0
79,obj_8,324000.0
79,obj_9,324000.0
347,obj_1,315000.0
347,obj_2,275000.0
347,obj_3,230000.0
347,obj_4,73500.0
347,obj_5,100500.0
347,obj_6,30000.0
347,obj_7,210000.0
347,obj_8,330000.0
347,obj_9,330000.0
678,obj_1,315000.0
678,obj_2,285000.0
678,obj_3,230000.0
678,obj_4,73500.0
678,obj_5,97500.0
678,obj_6,30000.0
678,obj_7,210000.0
678,obj_8,330000.0
678,obj_9,330000.0
990,obj_1,315000.0
990,obj_2,275000.0
990,obj_3,230000.0
990,obj_4,73500.0
990,obj_5,102000.0
990,obj_6,30000.0
990,obj_7,210000.0
990,obj_8,336000.0
990,obj_9,336000.0
2126,obj_1,315000.0
2126,obj_2,285000.0
2126,obj_3,230000.0
2126,obj_4,73500.0
2126,obj_5,102000.0
2126,obj_6,30000.0
2126,obj_7,210000.0
2126,obj_8,336000.0
2126,obj_9,336000.0
2887,obj_1,315000.0
2887,obj_2,275000.0
2887,obj_3,230000.0
2887,obj_4,73500.0
2887,obj_5,102000.0
2887,obj_6,30000.0
2887,obj_7,210000.0
2887,obj_8,330000.0
2887,obj_9,330000.0
3820,obj_1,315000.0
3820,obj_2,285000.0
3820,obj_3,230000.0
3820,obj_4,73500.0
3820,obj_5,103500.0
3820,obj_6,30000.0
3820,obj_7,210000.0
3820,obj_8,330000.0
3820,obj_9,330000.0
3831,obj_1,315000.0
3831,obj_2,285000.0
3831,obj_3,230000.0
3831,obj_4,73500.0
3831,obj_5,100500.0
3831,obj_6,30000.0
3831,obj_7,210000.0
3831,obj_8,330000.0
3831,obj_9,330000.0
4762,obj_1,315000.0
4762,obj_2,285000.0
4762,obj_3,230000.0
4762,obj_4,73500.0
4762,obj_5,102000.0
4762,obj_6,30000.0
4762,obj_7,210000.0
4762,obj_8,330000.0
4762,obj_9,330000.0
