time,obj_func,obj_func_max_value
38,obj_1,230000.0
38,obj_2,185000.0
38,obj_3,165000.0
38,obj_4,345000.0
38,obj_5,405000.0
38,obj_6,375000.0
38,obj_7,276000.0
38,obj_8,324000.0
38,obj_9,324000.0
73,obj_1,230000.0
73,obj_2,210000.0
73,obj_3,165000.0
73,obj_4,345000.0
73,obj_5,420000.0
73,obj_6,390000.0
73,obj_7,270000.0
73,obj_8,318000.0
73,obj_9,318000.0
341,obj_1,230000.0
341,obj_2,200000.0
341,obj_3,165000.0
341,obj_4,345000.0
341,obj_5,390000.0
341,obj_6,360000.0
341,obj_7,264000.0
341,obj_8,318000.0
341,obj_9,318000.0
645,obj_1,235000.0
645,obj_2,215000.0
645,obj_3,165000.0
645,obj_4,345000.0
645,obj_5,405000.0
645,obj_6,405000.0
645,obj_7,264000.0
645,obj_8,324000.0
645,obj_9,324000.0
969,obj_1,235000.0
969,obj_2,200000.0
969,obj_3,165000.0
969,obj_4,345000.0
969,obj_5,405000.0
969,obj_6,405000.0
969,obj_7,276000.0
969,obj_8,324000.0
969,obj_9,324000.0
1910,obj_1,235000.0
1910,obj_2,210000.0
1910,obj_3,165000.0
1910,obj_4,345000.0
1910,obj_5,405000.0
1910,obj_6,390000.0
1910,obj_7,264000.0
1910,obj_8,324000.0
1910,obj_9,324000.0
2841,obj_1,235000.0
2841,obj_2,215000.0
2841,obj_3,165000.0
2841,obj_4,345000.0
2841,obj_5,420000.0
2841,obj_6,375000.0
2841,obj_7,270000.0
2841,obj_8,324000.0
2841,obj_9,324000.0
3737,obj_1,235000.0
3737,obj_2,210000.0
3737,obj_3,165000.0
3737,obj_4,345000.0
3737,obj_5,405000.0
3737,obj_6,390000.0
3737,obj_7,282000.0
3737,obj_8,324000.0
3737,obj_9,324000.0
3762,obj_1,235000.0
3762,obj_2,200000.0
3762,obj_3,165000.0
3762,obj_4,345000.0
3762,obj_5,405000.0
3762,obj_6,375000.0
3762,obj_7,282000.0
3762,obj_8,324000.0
3762,obj_9,324000.0
4690,obj_1,235000.0
4690,obj_2,200000.0
4690,obj_3,165000.0
4690,obj_4,345000.0
4690,obj_5,420000.0
4690,obj_6,375000.0
4690,obj_7,276000.0
4690,obj_8,324000.0
4690,obj_9,324000.0
7398,obj_1,235000.0
7398,obj_2,205000.0
7398,obj_3,165000.0
7398,obj_4,345000.0
7398,obj_5,405000.0
7398,obj_6,375000.0
7398,obj_7,270000.0
7398,obj_8,324000.0
7398,obj_9,324000.0
8658,obj_1,235000.0
8658,obj_2,195000.0
8658,obj_3,165000.0
8658,obj_4,345000.0
8658,obj_5,405000.0
8658,obj_6,390000.0
8658,obj_7,264000.0
8658,obj_8,324000.0
8658,obj_9,324000.0
11679,obj_1,235000.0
11679,obj_2,210000.0
11679,obj_3,165000.0
11679,obj_4,345000.0
11679,obj_5,405000.0
11679,obj_6,375000.0
11679,obj_7,276000.0
11679,obj_8,324000.0
11679,obj_9,324000.0
12899,obj_1,235000.0
12899,obj_2,210000.0
12899,obj_3,165000.0
12899,obj_4,345000.0
12899,obj_5,405000.0
12899,obj_6,390000.0
12899,obj_7,282000.0
12899,obj_8,324000.0
12899,obj_9,324000.0
15350,obj_1,235000.0
15350,obj_2,210000.0
15350,obj_3,165000.0
15350,obj_4,345000.0
15350,obj_5,420000.0
15350,obj_6,405000.0
15350,obj_7,264000.0
15350,obj_8,324000.0
15350,obj_9,324000.0
