time,obj_func,obj_func_max_value
35,obj_1,195000.0
35,obj_2,120000.0
35,obj_3,155000.0
35,obj_4,165000.0
35,obj_5,255000.0
35,obj_6,270000.0
35,obj_7,246000.0
35,obj_8,198000.0
35,obj_9,198000.0
66,obj_1,195000.0
66,obj_2,120000.0
66,obj_3,155000.0
66,obj_4,165000.0
66,obj_5,255000.0
66,obj_6,270000.0
66,obj_7,234000.0
66,obj_8,198000.0
66,obj_9,198000.0
310,obj_1,195000.0
310,obj_2,115000.0
310,obj_3,155000.0
310,obj_4,165000.0
310,obj_5,255000.0
310,obj_6,270000.0
310,obj_7,246000.0
310,obj_8,192000.0
310,obj_9,192000.0
606,obj_1,195000.0
606,obj_2,115000.0
606,obj_3,155000.0
606,obj_4,165000.0
606,obj_5,255000.0
606,obj_6,270000.0
606,obj_7,246000.0
606,obj_8,192000.0
606,obj_9,192000.0
907,obj_1,195000.0
907,obj_2,115000.0
907,obj_3,155000.0
907,obj_4,165000.0
907,obj_5,255000.0
907,obj_6,270000.0
907,obj_7,246000.0
907,obj_8,192000.0
907,obj_9,192000.0
1807,obj_1,195000.0
1807,obj_2,115000.0
1807,obj_3,155000.0
1807,obj_4,165000.0
1807,obj_5,255000.0
1807,obj_6,270000.0
1807,obj_7,246000.0
1807,obj_8,192000.0
1807,obj_9,192000.0
2707,obj_1,195000.0
2707,obj_2,115000.0
2707,obj_3,155000.0
2707,obj_4,165000.0
2707,obj_5,255000.0
2707,obj_6,270000.0
2707,obj_7,246000.0
2707,obj_8,192000.0
2707,obj_9,192000.0
3606,obj_1,195000.0
3606,obj_2,115000.0
3606,obj_3,155000.0
3606,obj_4,165000.0
3606,obj_5,255000.0
3606,obj_6,270000.0
3606,obj_7,246000.0
3606,obj_8,192000.0
3606,obj_9,192000.0
3607,obj_1,195000.0
3607,obj_2,115000.0
3607,obj_3,155000.0
3607,obj_4,165000.0
3607,obj_5,255000.0
3607,obj_6,270000.0
3607,obj_7,246000.0
3607,obj_8,192000.0
3607,obj_9,192000.0
4506,obj_1,195000.0
4506,obj_2,115000.0
4506,obj_3,155000.0
4506,obj_4,165000.0
4506,obj_5,255000.0
4506,obj_6,270000.0
4506,obj_7,246000.0
4506,obj_8,192000.0
4506,obj_9,192000.0
