time,obj_func,obj_func_max_value
40,obj_1,225000.0
40,obj_2,190000.0
40,obj_3,245000.0
40,obj_4,97500.0
40,obj_5,99000.0
40,obj_6,45000.0
40,obj_7,480000.0
40,obj_8,312000.0
40,obj_9,312000.0
78,obj_1,225000.0
78,obj_2,190000.0
78,obj_3,240000.0
78,obj_4,102000.0
78,obj_5,105000.0
78,obj_6,45000.0
78,obj_7,480000.0
78,obj_8,312000.0
78,obj_9,312000.0
343,obj_1,225000.0
343,obj_2,200000.0
343,obj_3,245000.0
343,obj_4,100500.0
343,obj_5,94500.0
343,obj_6,45000.0
343,obj_7,468000.0
343,obj_8,324000.0
343,obj_9,324000.0
668,obj_1,215000.0
668,obj_2,200000.0
668,obj_3,240000.0
668,obj_4,102000.0
668,obj_5,102000.0
668,obj_6,45000.0
668,obj_7,492000.0
668,obj_8,330000.0
668,obj_9,330000.0
1018,obj_1,215000.0
1018,obj_2,200000.0
1018,obj_3,245000.0
1018,obj_4,102000.0
1018,obj_5,103500.0
1018,obj_6,45000.0
1018,obj_7,492000.0
1018,obj_8,324000.0
1018,obj_9,324000.0
1927,obj_1,225000.0
1927,obj_2,200000.0
1927,obj_3,245000.0
1927,obj_4,102000.0
1927,obj_5,96000.0
1927,obj_6,45000.0
1927,obj_7,492000.0
1927,obj_8,330000.0
1927,obj_9,330000.0
2867,obj_1,225000.0
2867,obj_2,200000.0
2867,obj_3,250000.0
2867,obj_4,102000.0
2867,obj_5,102000.0
2867,obj_6,45000.0
2867,obj_7,468000.0
2867,obj_8,330000.0
2867,obj_9,330000.0
3781,obj_1,225000.0
3781,obj_2,200000.0
3781,obj_3,250000.0
3781,obj_4,102000.0
3781,obj_5,103500.0
3781,obj_6,45000.0
3781,obj_7,504000.0
3781,obj_8,330000.0
3781,obj_9,330000.0
3832,obj_1,225000.0
3832,obj_2,200000.0
3832,obj_3,255000.0
3832,obj_4,102000.0
3832,obj_5,99000.0
3832,obj_6,45000.0
3832,obj_7,492000.0
3832,obj_8,342000.0
3832,obj_9,342000.0
4724,obj_1,225000.0
4724,obj_2,200000.0
4724,obj_3,255000.0
4724,obj_4,100500.0
4724,obj_5,103500.0
4724,obj_6,45000.0
4724,obj_7,504000.0
4724,obj_8,330000.0
4724,obj_9,330000.0
